SampleID n_geno_missing n_het_total n_hom_total n_het_covered n_hom_covered n_het_consistent n_hom_consistent perc_het_consistent perc_hom_consistent n_het_in_ase
HG00096 0 23764 61721 175 499 91 333 0 0 29
HG00097 0 26639 58846 193 481 93 317 0 0 23
HG00099 0 27672 57813 216 458 93 294 0 0 26
HG00100 0 28267 57218 243 431 107 281 0 0 24
HG00101 0 28870 56615 251 423 112 278 0 0 38
HG00102 0 29858 55627 227 447 108 298 0 0 31
HG00103 0 29342 56143 241 433 111 287 0 0 32
HG00105 0 28008 57477 192 482 93 318 0 0 20
HG00106 0 26046 59439 190 484 90 317 0 0 30
HG00108 0 25408 60077 205 469 85 297 0 0 31
HG00109 0 27789 57696 206 468 95 306 0 0 23
HG00110 0 29488 55997 220 454 109 306 0 0 25
HG00111 0 27734 57751 177 497 67 307 0 0 26
HG00112 0 27533 57952 225 449 115 307 0 0 25
HG00114 0 26233 59252 210 464 91 298 0 0 20
HG00115 0 28379 57106 243 431 121 295 0 0 31
HG00116 0 26317 59168 193 481 96 320 0 0 26
HG00117 0 20171 65314 134 540 62 345 0 0 13
HG00118 0 28262 57223 248 426 115 284 0 0 32
HG00119 0 27809 57676 240 434 100 277 0 0 26
HG00120 0 23580 61905 165 509 75 327 0 0 25
HG00121 0 26434 59051 213 461 108 312 0 0 28
HG00122 0 31565 53920 237 437 114 294 0 0 33
HG00123 0 25896 59589 198 476 103 322 0 0 20
HG00125 0 26167 59318 215 459 97 299 0 0 27
HG00126 0 23861 61624 193 481 76 300 0 0 19
HG00127 0 26436 59049 226 448 118 309 0 0 28
HG00128 0 27519 57966 215 459 90 292 0 0 23
HG00129 0 26937 58548 163 511 87 341 0 0 23
HG00130 0 26828 58657 196 478 112 333 0 0 30
HG00131 0 29610 55875 236 438 108 289 0 0 25
HG00132 0 30833 54652 255 419 123 285 0 0 26
HG00133 0 26543 58942 188 486 91 320 0 0 26
HG00136 0 27552 57933 235 439 106 288 0 0 30
HG00137 0 28571 56914 254 420 115 278 0 0 26
HG00138 0 26330 59155 208 466 79 288 0 0 21
HG00139 0 26109 59376 199 475 93 311 0 0 27
HG00141 0 30815 54670 226 448 101 292 0 0 31
HG00142 0 25783 59702 197 477 97 317 0 0 29
HG00143 0 28194 57291 200 474 98 315 0 0 28
HG00145 0 25582 59903 224 450 82 275 0 0 27
HG00146 0 29969 55516 214 460 91 294 0 0 26
HG00148 0 28568 56917 215 459 93 295 0 0 32
HG00149 0 29922 55563 230 444 88 275 0 0 20
HG00150 0 27838 57647 204 470 73 286 0 0 23
HG00151 0 25795 59690 177 497 76 316 0 0 22
HG00154 0 26793 58692 240 434 105 282 0 0 24
HG00155 0 27858 57627 234 440 104 287 0 0 23
HG00157 0 25638 59847 187 487 73 303 0 0 20
HG00158 0 27927 57558 237 437 90 270 0 0 26
HG00159 0 26564 58921 197 477 76 296 0 0 18
HG00160 0 25406 60079 208 466 89 298 0 0 29
HG00171 0 28271 57214 246 428 102 273 0 0 29
HG00173 0 27745 57740 201 473 93 309 0 0 22
HG00174 0 27480 58005 226 448 113 304 0 0 26
HG00176 0 28574 56911 213 461 98 302 0 0 25
HG00177 0 25209 60276 168 506 76 325 0 0 21
HG00178 0 28951 56534 235 439 78 260 0 0 19
HG00179 0 27762 57723 209 465 100 308 0 0 22
HG00180 0 27298 58187 276 398 120 261 0 0 35
HG00181 0 29985 55500 261 413 118 274 0 0 30
HG00182 0 27821 57664 248 426 101 270 0 0 32
HG00183 0 27446 58039 224 450 112 305 0 0 27
HG00185 0 29158 56327 234 440 103 286 0 0 23
HG00186 0 27155 58330 183 491 92 326 0 0 25
HG00187 0 27471 58014 210 464 109 316 0 0 32
HG00188 0 27850 57635 230 444 88 275 0 0 26
HG00189 0 30031 55454 268 406 107 256 0 0 32
HG00231 0 28559 56926 234 440 89 272 0 0 24
HG00232 0 25884 59601 185 489 107 339 0 0 21
HG00233 0 28623 56862 227 447 111 301 0 0 25
HG00234 0 29821 55664 228 446 99 288 0 0 27
HG00235 0 27662 57823 204 470 87 300 0 0 24
HG00236 0 27949 57536 214 460 100 303 0 0 29
HG00238 0 28766 56719 244 430 96 269 0 0 25
HG00239 0 27398 58087 214 460 85 288 0 0 24
HG00240 0 27599 57886 239 435 113 291 0 0 30
HG00242 0 27435 58050 218 456 103 302 0 0 31
HG00243 0 27631 57854 230 444 97 284 0 0 31
HG00244 0 27771 57714 213 461 111 315 0 0 31
HG00245 0 27526 57959 218 456 102 301 0 0 26
HG00246 0 29068 56417 240 434 125 302 0 0 31
HG00250 0 29250 56235 229 445 99 287 0 0 32
HG00251 0 27374 58111 182 492 70 305 0 0 20
HG00252 0 26709 58776 182 492 91 326 0 0 21
HG00253 0 29081 56404 218 456 106 305 0 0 28
HG00255 0 30053 55432 247 427 115 285 0 0 40
HG00256 0 28965 56520 196 478 89 310 0 0 19
HG00257 0 29506 55979 256 418 106 267 0 0 31
HG00258 0 26612 58873 202 472 81 296 0 0 23
HG00259 0 26360 59125 202 472 86 301 0 0 27
HG00260 0 28367 57118 212 462 89 294 0 0 27
HG00261 0 25736 59749 199 475 97 315 0 0 19
HG00262 0 26790 58695 210 464 89 296 0 0 24
HG00263 0 28805 56680 199 475 94 312 0 0 33
HG00264 0 26246 59239 200 474 104 321 0 0 27
HG00265 0 28226 57259 216 458 94 295 0 0 28
HG00266 0 28109 57376 209 465 97 305 0 0 27
HG00267 0 28001 57484 211 463 103 309 0 0 20
HG00268 0 27342 58143 215 459 86 288 0 0 31
HG00269 0 25836 59649 203 471 99 313 0 0 26
HG00271 0 28132 57353 212 462 85 290 0 0 22
HG00272 0 27151 58334 215 459 94 296 0 0 29
HG00273 0 28376 57109 225 449 87 279 0 0 32
HG00274 0 27899 57586 242 432 111 286 0 0 35
HG00275 0 29947 55538 231 443 115 301 0 0 28
HG00276 0 29153 56332 240 434 94 271 0 0 27
HG00277 0 27462 58023 212 462 100 305 0 0 25
HG00278 0 25350 60135 218 456 102 301 0 0 22
HG00280 0 28274 57211 224 450 109 302 0 0 28
HG00281 0 28969 56516 230 444 97 284 0 0 34
HG00282 0 27762 57723 215 459 91 293 0 0 33
HG00284 0 25430 60055 180 494 68 305 0 0 21
HG00285 0 28332 57153 209 465 105 313 0 0 26
HG00306 0 27041 58444 238 436 90 269 0 0 26
HG00308 0 25911 59574 202 472 95 310 0 0 22
HG00309 0 28492 56993 247 427 104 274 0 0 24
